t,x,y,vx,vy,ax,ay,event
0.101684093475,80.0,100.0,0.0,0.0,36,72,
0.207245111465,80.0,100.0,0.0,0.0,72,54,
0.314544200897,80.0,100.0,0.0,0.0,-36,-90,
0.42169213295,80.0,100.0,0.0,0.0,18,-54,
0.523590087891,80.0049628952,99.9933271998,0.508237689286,-0.683344792318,72,-36,
0.629150152206,80.1560525216,99.6045646754,4.754509333,-4.40731149352,-36,-90,
0.732147216797,81.1573068802,99.0641302792,10.2511151837,-7.20994006707,36,18,
0.835510015488,82.5996559774,98.1904293913,19.4331143488,-9.12627422675,-18,-144,
0.942840099335,85.4732536757,97.294866264,33.6285471785,-6.28451342731,-126,-144,
1.00549316406,95.4755372101,,,,,,fps
1.04733300209,89.6611501137,97.3156970004,42.4312930933,3.25474234143,54,-36,
1.15225219727,94.1386495288,97.4249795441,43.7981035548,0.257624311602,36,-36,
1.25659203529,99.1242094026,98.1515952166,52.7969035863,12.9141327058,54,-36,
1.38269019127,103.412954394,99.0766411272,48.5850944401,9.55477226068,36,-144,
1.48660302162,110.94920125,100.365123425,53.4857767398,9.16512773782,-54,126,
1.59423804283,116.074639268,101.591878037,52.0053488656,27.757839448,-558,-108,
1.70126318932,121.579405599,106.351029317,45.405358995,52.3102510184,-216,144,
1.80538916588,126.084412143,113.374920526,40.4458862344,76.3235980159,-162,-36,
1.91064405441,130.649774049,122.393844435,44.8767488033,90.1713799891,-90,36,
2.00643920898,96.9083203756,,,,,,fps
2.01577711105,134.778203399,132.100009427,31.1443512482,94.3115794489,-234,54,
2.12216210365,138.375076955,142.703202285,44.8786731101,94.5444485319,180,90,
2.22720313072,143.427497128,139.903991641,50.9124735939,-31.8510658029,-18,18,
2.33209204674,148.650631951,136.961968189,47.1306818325,-24.6822105762,-162,162,
2.43566918373,153.383428989,134.805263497,49.0334770141,-16.687295425,-180,-54,
2.5443110466,158.705394996,133.707348117,46.4951387007,-8.96918768568,18,126,
2.64935302734,162.920273159,133.183885447,30.4471140662,1.1567289303,-108,216,
2.75399804115,164.860071612,134.445739566,14.7975128212,17.8973748698,-162,108,
2.85812401772,165.729461414,137.548701516,4.75805614493,37.6952902545,-216,72,
2.96362304688,165.780126625,142.523813051,-3.45300386927,-19.9849036871,-216,90,
3.01187109947,104.432732832,,,,,,fps
3.06814599037,165.47022573,142.504425209,2.45301643038,17.5574264463,-324,-126,
3.17279005051,166.405918638,142.982041445,12.7271606046,-0.942125994069,-396,-54,
3.27606201172,167.892705673,142.982041445,14.6483510212,-1.28516984409,-414,-54,
3.38186621666,169.420749995,142.982041445,16.9339599538,-0.923056029455,-396,-54,
3.48529005051,171.411974348,142.982041445,22.1377990508,-0.966442104044,-360,-72,
3.5931391716,173.951736679,142.982041445,25.7364492296,-2.86766034459,-414,-54,
3.69354200363,176.427901065,142.982041445,25.633094039,-1.33841521944,-432,-54,
3.79702711105,179.059780155,142.982041445,22.5406784191,-1.47556309475,-468,0,
3.90200805664,181.412902288,142.982041445,23.5444007035,-1.09054915217,-450,-72,
4.00561499596,184.038697471,142.982041445,24.3783371414,-1.27962300044,-522,108,
4.01507520676,103.667837128,,,,,,fps
4.11068701744,185.339144883,142.982041445,-0.592242235118,-1.36863044744,-468,288,
4.21435499191,183.110621774,142.982041445,-39.1035486499,-1.32004917267,-450,324,
4.31817603111,176.759436102,142.982041445,-79.5496922395,-1.17147889989,-486,414,
4.42358398438,166.120165797,142.982041445,-122.392659372,-0.945367167834,-396,450,
4.52725219727,150.837729848,142.982041445,-168.548511017,-0.810607530157,-342,486,
4.63232421875,130.567817993,142.998258235,-209.585698061,-0.905241636649,-324,414,
4.73605298996,107.211173415,142.998258235,-237.396638952,-0.302876701314,-108,360,
4.83685302734,83.6718125105,142.829667001,-247.859308814,-6.80671814798,234,306,
4.94366407394,58.245301473,140.150402578,75.9160537655,-39.1238456273,306,270,wall
5.02117919922,104.362969223,,,,,,fps
5.05014014244,64.3229708992,134.41928374,38.7742675705,-60.6396506762,288,162,
5.15414404869,67.550892783,126.506535415,22.9919796511,-84.3518408995,-36,252,
5.26184105873,68.0353622305,117.972070783,-18.6602092467,-76.5768926118,144,576,
5.36575317383,62.635471854,110.245839925,-75.9368466953,-68.8107143186,-18,396,
5.470703125,58.9167577738,103.279725302,0.769257050704,-63.1943932764,36,450,
5.57449316978,58.0031203261,97.0542947251,4.87776148702,-56.3061718243,72,630,
5.6781001091,58.0031203261,91.9345952445,1.32253472111,-39.2102748994,-198,540,
5.78363013268,58.0031203261,89.6394678971,1.12087676249,-7.07744526563,-252,450,
5.88699316978,58.0031203261,90.8607673453,0.629994175568,27.0892079526,-288,252,
5.99139404297,58.0031203261,96.2734603127,0.578460163311,75.3196942474,-450,216,
6.02941918373,105.133699941,,,,,,fps
6.09564208984,58.0031203261,107.45630902,0.58969083608,137.756484729,-630,180,
6.20117211342,58.0031203261,125.960568419,0.388604315799,207.942082939,-720,126,
6.30480909348,58.0001327876,139.42526193,-0.331840916858,-49.8732071903,-774,54,wall
6.41012620926,58.0014819856,139.771467522,0.10777871041,44.2219216588,-594,36,
