t,x,y,vx,vy,ax,ay,event
0.101715087891,62.0,400.0,0.0,0.0,0,0,
0.205353021622,62.0,400.0,0.0,0.0,0,0,
0.308472156525,62.0,400.0,0.0,0.0,0,0,
0.415802001953,62.0,400.0,0.0,0.0,0,0,
0.519835948944,62.0,400.0,0.0,0.0,0,0,
0.623595952988,62.0,400.0,0.0,0.0,0,0,
0.72772192955,62.0,400.0,0.0,0.0,0,0,
0.833251953125,62.0,400.0,0.0,0.0,0,0,
0.936859130859,62.0,400.0,0.0,0.0,0,0,
1.00674414635,120.189424929,,,,,,fps
1.04129004478,62.0,400.0,0.0,0.0,0,0,
1.14721703529,62.0,400.0,0.0,0.0,0,0,
1.24984693527,62.0,400.0,0.0,0.0,0,0,
1.35314893723,62.0,400.0,0.0,0.0,0,0,
1.4557800293,62.0,400.0,0.0,0.0,0,0,
1.56390404701,62.0,400.0,0.0,0.0,0,0,
1.66784715652,62.0,400.0,0.0,0.0,0,0,
1.77288794518,62.0,400.0,0.0,0.0,0,0,
1.87594604492,62.0,400.0,0.0,0.0,0,0,
1.984375,62.0,400.0,0.0,0.0,0,0,
2.01226806641,116.357251843,,,,,,fps
2.08773803711,62.0,400.0,0.0,0.0,0,0,
2.1936340332,62.0,400.0,0.0,0.0,0,0,
2.29705810547,62.0,400.0,0.0,0.0,0,0,
2.40454101562,62.0,400.0,0.0,0.0,0,0,
2.50845313072,62.0,400.0,0.0,0.0,0,0,
2.61392211914,62.0,400.0,0.0,0.0,0,0,
2.7188410759,62.0,400.0,0.0,0.0,0,0,
2.81915307045,62.9630261509,399.61006277,23.0417046098,-9.55734210786,-313,156,
2.92706298828,66.1464236524,398.302164368,29.0896657049,-11.9057307805,0,0,
3.013641119,112.8450578,,,,,,fps
3.03427100182,68.8144390935,397.210207043,26.9365490459,-11.0245096781,0,0,
3.14742994308,73.2966233544,395.399560474,54.2412733838,-22.2406126164,-313,156,
3.25241112709,81.6750734545,391.928828708,85.6639070386,-35.6645559343,-313,156,
3.35635399818,92.0843255652,387.578047512,111.376619224,-46.6791842886,-312,156,
3.45730614662,104.361127526,382.419675864,133.72400802,-56.2808800118,-312,157,
3.56216406822,119.856098343,375.880769629,155.902886985,-65.918626839,-312,157,
3.68157911301,135.911591286,369.080387297,174.502860306,-74.0046267053,-312,157,
3.78280591965,158.737644239,359.377852613,195.95536091,-83.4443623573,-312,158,
3.88681006432,180.271057523,350.184923698,212.748021924,-91.0125135202,-311,159,
3.99011206627,203.375372351,340.274132303,228.104808831,-98.0593740872,-311,160,
4.01477003098,106.879342631,,,,,,fps
4.09020996094,224.784663296,331.051546539,240.434263856,-103.73181034,-310,161,
4.2105410099,251.120209301,319.658040969,253.636072856,-109.967612881,-310,161,
4.33740210533,281.419912453,305.456659013,-80.2610994515,-116.838232817,-308,164,wall
4.44012403488,274.583717368,290.175220266,-33.9138129042,-123.320903489,-308,164,
4.54104614258,273.117723497,277.442389265,0.0810952343946,-127.551736991,-314,153,
4.64431715012,274.965391872,264.115717494,32.7118270673,-130.371834378,-319,143,
4.75213599205,280.413656,249.882021654,64.7367661101,-131.935366959,-322,135,
4.8599550724,289.168349768,235.582620384,94.4236616281,-132.408437221,-325,129,
4.96447706223,300.520355219,221.801014319,121.008614267,-132.046907889,-327,122,
5.01751708984,103.715088546,,,,,,fps
5.06744408607,314.434937462,208.176937027,145.450330046,-131.25756641,-327,122,
5.1705930233,330.701364412,194.724820293,167.778702311,-130.349755418,-331,112,
5.27471899986,349.348661945,181.294669204,189.005271383,-128.492094253,-331,112,
5.37774610519,369.933913248,168.193027542,208.550862409,-126.12465159,-334,103,
5.48327612877,393.175409808,154.977548545,227.492677965,-122.866649537,-337,94,
5.58767700195,417.918046685,142.360989986,244.840470284,-119.027862222,-338,88,
5.6937251091,428.180019573,130.075240793,-58.7234231871,-114.683444095,-340,82,wall
5.79476904869,424.508184788,118.661837859,-19.0741844438,-110.171896873,-342,71,
5.89599609375,424.614440141,107.781100346,17.6742299919,-104.61346272,-345,53,
6.01019310951,428.872163857,97.1966397666,52.8929067311,-97.5938693293,-345,53,
6.01940894127,100.809283813,,,,,,fps
6.11264014244,431.681056587,87.0330836609,-4.89118464065,-90.3635297406,-347,40,
6.22021508217,432.812745004,77.7604301721,-5.80652675134,-82.8854173069,-349,22,
6.32534813881,432.989983075,69.3668100469,-0.623043832142,-76.1222974919,-349,13,
6.42748999596,432.988390708,62.0180079143,-0.773074372871,-70.1647104731,-349,3,
6.53106713295,432.988390708,59.227227559,-0.850152739411,19.360418399,-349,-5,
6.6343691349,432.988390708,61.1398559183,-0.659841002656,17.8196533487,-349,-5,
6.73821997643,432.988390708,62.9092192744,-0.711970741707,16.394253514,-349,-2,
6.85363793373,432.988390708,64.5675841873,-0.498927480472,15.0565522369,-349,-2,
6.9537050724,432.988390708,66.1159911102,-0.737053420984,13.8072238727,-349,0,
7.02438306808,106.470402715,,,,,,fps
7.06097412109,432.988390708,67.5284458869,-0.728934050472,12.6690957239,-349,2,
7.16784715652,432.988390708,68.8367953948,-0.869088150213,11.6147718964,-349,5,
7.27432203293,432.988390708,70.0172235589,-0.920091533591,10.6636649472,-349,6,
7.38546705246,432.988390708,70.9216784983,-0.742240411849,9.93495285238,-349,6,
7.51797509193,432.987779726,72.1259080089,-0.745043738208,8.95997078905,-349,7,
7.63803100586,432.985492628,73.1689161409,-0.758667888175,8.11394799533,-349,9,
7.75698804855,432.983913348,74.093477672,-0.654670034364,7.36481756856,-349,10,
7.86434912682,432.982078861,74.9898233502,-0.76169170879,6.63913851231,-349,11,
7.97100806236,432.982078861,75.6736082881,-0.881258634354,6.0881282131,-349,13,
8.02438306808,102.0,,,,,,fps
8.0787050724,432.982078861,76.2965894602,-0.891069885116,5.58614442656,-349,14,
8.18948411942,432.982078861,76.7738507921,-0.741586579713,5.20159643827,-349,14,
8.29608106613,432.998835291,77.4002794107,-0.679406419267,4.69451363983,-349,14,
8.40054297447,432.998835291,77.8599659664,-0.770254734405,4.32398231195,-349,15,
8.52310204506,432.998835291,78.2882884806,-0.734089086518,3.97866608937,-349,16,
8.64315795898,432.998835291,78.7382681742,-0.73541555034,3.61426128511,-349,16,
8.76266503334,432.998119407,79.1460980647,-0.741874114122,3.28392649444,-349,16,
8.89041113853,432.997051237,79.5454503558,-0.74789741255,2.96053474277,-349,17,
8.9973449707,432.996894481,79.9072286997,-0.87859924681,2.66764535514,-349,18,
9.03216505051,99.2278109197,,,,,,fps
9.11712598801,432.996894481,80.1542043413,-0.756940326711,2.46866509745,-349,18,
9.22347998619,432.995233176,80.4563144017,-0.856025887793,2.22403031897,-349,18,
9.34274291992,432.995233176,80.6624679695,-0.738102563407,2.05793743227,-349,18,
9.46279907227,432.998235103,80.8948798329,-0.742605284764,1.86972866232,-349,19,
9.57031202316,432.997547138,81.1236422404,-0.827623246266,1.68448854458,-349,19,
9.67645311356,432.997547138,81.2971796856,-0.861392567863,1.5446470196,-349,19,
9.79592895508,432.997547138,81.43949375,-0.809171380494,1.42999361539,-349,19,
9.91720604897,432.997984833,81.6018844941,-0.741663079749,1.29847209172,-349,20,
10.0241091251,432.995318442,81.7607273454,-0.730850028201,1.16981076327,-349,20,
10.0332341194,99.8932072779,,,,,,fps
10.1439819336,432.995318442,81.8714537573,-0.746707727241,1.08058467683,-349,20,
10.2743530273,432.997657369,82.0044723603,-0.750275104343,0.97289191787,-349,20,
10.3813171387,432.99778496,82.1226977225,-0.889523906956,0.877182744532,-349,20,
10.4920959473,432.99778496,82.1969728792,-0.748665631469,0.817339954378,-349,20,
10.6203920841,432.996797882,82.2965685726,-0.719183529147,0.736687044444,-349,20,
10.726500988,432.99623555,82.3865292268,-0.890740471818,0.66385319266,-349,21,
10.846282959,432.99623555,82.4479345479,-0.761703922426,0.614381314885,-349,21,
10.9649660587,432.994556441,82.5174968121,-0.752097625288,0.558035949552,-349,21,
11.0354311466,97.7851633358,,,,,,fps
11.093200922,432.99469868,82.5847202035,-0.737867596999,0.503626029683,-349,21,
11.2001650333,432.995198342,82.6460559454,-0.889242029739,0.453968240953,-349,21,
11.321502924,432.995198342,82.6889999727,-0.756872167096,0.419362982396,-349,21,
11.4418330193,432.994052112,82.7366654363,-0.723801927453,0.380752618884,-349,21,
11.5604860783,432.99243117,82.7799605625,-0.739023368081,0.345678318225,-349,21,
11.6671750546,432.99252902,82.8214507259,-0.71028351978,0.312095667418,-349,21,
11.7857661247,432.99252902,82.850790357,-0.757337332455,0.288453844422,-349,21,
11.9144899845,432.99253506,82.8855608326,-0.737870923748,0.260308422652,-349,21,
12.0339660645,432.991779143,82.9150390988,-0.74445982327,0.236428421296,-349,21,
12.0429990292,95.2789401724,,,,,,fps
12.1409909725,432.992365107,82.943843455,-0.706246270749,0.213104136238,-349,21,
