t,x,y,vx,vy,ax,ay,event
0.106444835663,62.0,62.0,0.0,0.0,0,0,
0.213927984238,62.0,62.0,0.0,0.0,0,0,
0.320495843887,62.0,62.0,0.0,0.0,0,0,
0.428283929825,62.0,62.0,0.0,0.0,0,0,
0.528502941132,62.0,62.0,0.0,0.0,0,0,
0.638091802597,62.0,62.0,0.0,0.0,0,0,
0.746276855469,62.0,62.0,0.0,0.0,0,0,
0.853302001953,62.0,62.0,0.0,0.0,0,0,
0.960174798965,62.0,62.0,0.0,0.0,0,0,
1.00472998619,116.449196907,,,,,,fps
1.06768798828,62.0,62.0,0.0,0.0,0,0,
1.16842699051,62.0,62.0,0.0,0.0,0,0,
1.27413892746,62.0,62.0,0.0,0.0,0,0,
1.37457299232,62.0,62.0,0.0,0.0,0,0,
1.48175001144,62.0,62.0,0.0,0.0,0,0,
1.58315992355,62.0,62.0,0.0,0.0,0,0,
1.68399000168,62.0,62.0,0.0,0.0,0,0,
1.78472900391,62.0,62.0,0.0,0.0,0,0,
1.89358496666,62.0,62.0,0.0,0.0,0,0,
2.00158691406,62.0,62.0,0.0,0.0,0,0,
2.01046800613,110.366713596,,,,,,fps
2.10705590248,62.0,62.0,0.0,0.0,0,0,
2.2142329216,62.0,62.0,0.0,0.0,0,0,
2.32238793373,62.0,62.0,0.0,0.0,0,0,
2.43014478683,62.0,62.0,0.0,0.0,0,0,
2.53262281418,62.0,62.0,0.0,0.0,0,0,
2.64236497879,62.0,62.0,0.0,0.0,0,0,
2.74771094322,62.2768322225,62.091686395,10.0912694276,4.00181483169,-309,-163,
2.85440087318,65.1900065053,63.3618498122,41.8878480876,18.5906295057,-309,-163,
2.96749901772,71.2928051475,66.0960867359,70.783125531,31.8484236298,-309,-163,
3.01370191574,105.658310574,,,,,,fps
3.08697485924,81.3243309669,70.6262183358,99.9591213872,45.2349201974,-309,-163,
3.18841600418,94.506686246,76.6024636657,126.340560086,57.3393598661,-309,-163,
3.29324293137,108.744697607,82.4613112272,147.951140718,-20.1831557279,-308,-164,
3.40075683594,125.856319785,81.3046596049,168.651017304,-3.28460246713,-308,-164,
3.50631690025,144.965001879,81.8870244395,187.439997432,12.4051509332,-307,-168,
3.6100769043,165.282316433,82.8644077287,201.540854409,-3.18069424841,-261,-141,
3.71105980873,186.138956936,82.9593389303,209.543463858,-0.491751531466,-226,-78,
3.8174738884,208.837581392,82.9903019337,217.535540496,0.0387602871126,-284,-15,
3.92633080482,233.098944948,82.9943047021,229.670213344,0.0355346834886,-284,-15,
4.02032494545,102.32231626,,,,,,fps
4.02883887291,257.973428422,82.998001853,246.056368679,-0.13750158613,-336,-96,
4.13186597824,283.995282961,82.998001853,260.964533379,-0.529396833463,-285,-202,
4.24020385742,310.373562489,82.998001853,269.108873688,-0.431839388203,-285,-202,
4.34576392174,341.781629684,83.8403323719,276.913960976,17.0535577348,-276,-215,
4.44711279869,369.832132778,86.3297214362,269.029446647,25.8483574935,0,0,
4.54717993736,395.597959499,88.8053028587,248.265162723,23.8533244566,0,0,
4.6556699276,421.188309479,91.5227320391,238.568404065,32.4770191643,-248,-246,
4.75711083412,446.034467575,96.1061080655,243.815825596,54.556656054,-239,-254,
4.85711693764,470.600146508,102.679004816,247.653292741,75.1124287033,-229,-264,
4.95843482018,479.375978589,111.38656599,-62.2091457386,95.2389695843,-229,-264,wall
5.0238339901,104.632838697,,,,,,fps
5.05889892578,474.544747711,122.137008584,-35.6414956565,114.211833691,-225,-267,
5.16125488281,472.3182246,134.738749293,-10.5111881882,131.18673257,-233,-260,
5.26226782799,472.565462001,148.76373186,13.1332439952,145.968244566,-240,-254,
5.3680729866,475.393567795,165.057579242,36.62866861,159.554889889,-246,-248,
5.47512793541,480.648324136,182.939640779,58.964401626,171.973552046,-246,-248,
5.58489990234,488.310773065,179.359884209,79.9916763072,-24.6719792048,-258,-236,wall
5.69064283371,498.03101472,178.253047656,99.9102646314,1.53284486848,-249,-245,
5.79833984375,509.73559377,179.884216062,117.298111592,26.5244228614,-249,-245,
5.90585279465,523.397614486,184.197049473,132.697287732,50.5986507947,-242,-252,
6.01431298256,538.591005125,191.017940832,146.118674569,73.2020468573,-235,-258,
6.03256201744,105.08283415,,,,,,fps
6.11965894699,554.726326996,200.000127841,157.532862335,93.769511285,-230,-263,
6.21984887123,570.927483687,210.342573506,166.889856299,112.308280919,-222,-270,
6.32806396484,589.489323439,223.627450242,175.4049644,131.559401393,-215,-275,
6.43041992188,607.232306833,237.582198891,181.922487728,148.266403283,-215,-275,
6.53350782394,627.084420225,254.462204381,188.008302478,165.063279708,-206,-282,
6.63418579102,645.915642164,271.600971342,192.194352788,180.212418767,-191,-293,
6.73849487305,666.549659372,291.753855343,194.85247565,196.298266874,-191,-293,
6.84435987473,687.190899643,313.341260499,196.146869758,211.529720477,-177,-301,
6.9449160099,706.864094201,335.379655026,194.936006407,226.224789498,-149,-316,
7.0364689827,101.603040451,,,,,,fps
7.04574584961,726.339963633,358.959874492,192.377203187,240.52082591,-149,-316,
7.14846801758,741.98670034,384.717574594,-54.7198285354,255.844725257,-95,-336,wall
7.2160949707,738.624800827,401.477111809,-50.6281629671,258.806489442,8,-193,goal
,avg_fps=106.422457009;deaths=0;elapsed=7.21652197838;frames=768;outcome=goal;par=25.0,,,,,,summary
