t,x,y,vx,vy,ax,ay,event
0.107574939728,62.0,62.0,0.0,0.0,0,0,
0.210205078125,62.0,62.0,0.0,0.0,0,0,
0.312622070312,62.0,62.0,0.0,0.0,0,0,
0.415070056915,62.0,62.0,0.0,0.0,0,0,
0.523651123047,62.0,62.0,0.0,0.0,0,0,
0.624390125275,62.0,62.0,0.0,0.0,0,0,
0.725006103516,62.0,62.0,0.0,0.0,0,0,
0.831085920334,62.0,62.0,0.0,0.0,0,0,
0.938111066818,62.0,62.0,0.0,0.0,0,0,
1.00732493401,117.141942998,,,,,,fps
1.04440307617,62.0,62.0,0.0,0.0,0,0,
1.14538598061,62.0,62.0,0.0,0.0,0,0,
1.24688792229,62.0,62.0,0.0,0.0,0,0,
1.35083007812,62.0,62.0,0.0,0.0,0,0,
1.45944309235,62.0,62.0,0.0,0.0,0,0,
1.56631493568,62.0,62.0,0.0,0.0,0,0,
1.67272996902,62.0,62.0,0.0,0.0,0,0,
1.78003001213,62.0,62.0,0.0,0.0,0,0,
1.88754296303,62.0,62.0,0.0,0.0,0,0,
1.99322509766,62.0,62.0,0.0,0.0,0,0,
2.01245212555,111.428683795,,,,,,fps
2.09881591797,62.0,62.0,0.0,0.0,0,0,
2.20678710938,62.0,62.0,0.0,0.0,0,0,
2.34176707268,62.0,62.0,0.0,0.0,0,0,
2.44567894936,62.0,62.0,0.0,0.0,0,0,
2.54675292969,62.0,62.0,0.0,0.0,0,0,
2.65377807617,62.0,62.0,0.0,0.0,0,0,
2.76113891602,62.0,62.0,0.0,0.0,0,0,
2.8658759594,62.1450378089,62.0583466601,8.02810513655,3.43212813656,-309,-163,
2.96728610992,64.4986653844,63.1123467517,37.438706355,16.8979804718,-309,-163,
3.02197313309,105.000291434,,,,,,fps
3.07015991211,70.2994624058,65.7422832938,67.2089866615,30.5285804627,-309,-163,
3.17782592773,79.2088901742,69.7952040649,94.9221192103,43.2172320825,-309,-163,
3.27798509598,89.9747886801,74.70522859,118.372133111,54.076595941,-308,-164,
3.38116502762,103.510212613,80.8998089217,140.557941328,64.3968354567,-308,-164,
3.48239207268,118.510352421,87.767034939,146.370630253,66.9049191681,0,0,
3.58416795731,132.915436031,94.3432236886,145.888575633,66.5425433659,-308,-165,
3.68530297279,148.997918398,101.699015113,165.802399524,76.0168144125,-307,-166,
3.79418992996,168.074710012,110.472041967,185.028203257,85.274883132,-307,-166,
3.90106201172,180.506789218,120.083068641,-49.8151144725,93.7742742562,-307,-167,wall
4.00167894363,177.510183244,129.942512205,-15.158854104,101.116402108,-308,-165,
4.02758812904,101.43046833,,,,,,fps
4.10958909988,177.949929546,141.290167172,19.2129329449,108.162414195,-308,-165,
4.21130394936,181.630559596,152.578894588,49.21062168,113.468589353,-312,-156,
4.3124089241,182.344026204,164.284068596,7.06405824522,117.577825741,-316,-150,
4.42059397697,185.148173075,177.300784969,41.1503894956,120.856127792,-319,-143,
4.52517700195,191.177397671,190.074629423,71.3747468822,123.219319277,-322,-135,
4.63189697266,200.34057114,203.15251847,99.6728000763,124.702712428,-322,-135,
4.73309397697,212.019467807,215.983008499,125.313135553,125.276462714,-325,-128,
4.84045410156,226.934974173,229.444402906,150.164524313,125.307156631,-327,-122,
4.94931101799,244.580284936,242.997892755,173.386646502,124.784477901,-330,-116,
5.02999901772,107.740250251,,,,,,fps
5.05386400223,264.027103125,256.06194343,194.290484461,123.837761317,-330,-116,
5.16030907631,285.879491537,269.178088635,213.844957549,122.518838965,-332,-110,
5.26037597656,308.210314607,281.343289878,231.00337684,120.77748137,-334,-104,
5.36514306068,333.318032741,279.693465094,247.64033681,-27.2254686559,-333,-105,
5.47186303139,360.355556955,277.402948893,262.982353013,-17.1438591322,-333,-105,
5.58020091057,390.087809136,276.182715862,277.148327863,-6.04139910437,-329,-118,
5.68869113922,420.695211867,276.176741956,289.428680235,5.18758274741,-324,-131,
5.78912401199,449.459634969,276.912674395,275.410229285,7.22565001887,0,0,
5.89773607254,478.482201615,278.095892673,268.465700246,18.5905734727,-257,-204,
6.00476098061,507.438288882,281.238179458,271.547148998,39.840185964,-223,-268,
6.03277611732,108.698134453,,,,,,fps
6.11141991615,536.528199854,286.949592915,272.164798655,63.9952805715,-274,-217,
6.21823191643,565.983304528,294.75181699,278.440903879,80.4084477574,-274,-217,
6.31939697266,594.314108355,303.630618098,283.969201515,94.5311413011,-275,-216,
6.42703294754,625.107500082,314.717497858,287.700120314,110.335600004,-258,-235,
6.53506493568,655.98307061,327.549676782,287.924331853,127.904352211,-230,-262,
6.63720703125,684.550132017,341.397142598,282.951034615,147.099973216,-186,-296,
6.74462890625,714.563352121,358.861209867,267.779024977,171.119620168,-100,-335,
6.8502509594,741.873683433,378.024582809,242.546363642,183.550937423,71,-248,
6.95239305496,734.462047154,396.78462142,-86.9003231847,181.946271763,244,-128,wall
7.03393602371,110.871399555,,,,,,fps
7.0537109375,724.843958713,414.781113933,-100.518884347,173.43601351,172,37,
7.16116404533,713.589093248,419.673208875,-106.902065851,-49.5911324971,102,125,wall
7.20758104324,708.697117559,417.319925839,-106.374186246,-52.3761193822,102,125,goal
,avg_fps=108.906180317;deaths=0;elapsed=7.20803904533;frames=785;outcome=goal;par=10.0,,,,,,summary
